"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","Starting Salary","Current Salary","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"1248",31,"No","Travel_Rarely",1003,"Sales",5,3,"Technical Degree",1,1749,1,"Male",51,3,2,"Sales Executive",3,"Married",33384,83772,1,"Y","No",19,3,3,80,1,6,3,3,5,2,0,2
"872",24,"Yes","Travel_Rarely",984,"Research & Development",17,2,"Life Sciences",1,1219,4,"Female",97,3,1,"Laboratory Technician",2,"Married",8840,13488,1,"Y","No",13,3,1,80,1,1,3,1,1,0,0,0
"610",43,"No","Travel_Rarely",589,"Research & Development",14,2,"Life Sciences",1,843,2,"Male",94,3,4,"Research Director",1,"Married",68636,20800,6,"Y","No",24,4,3,80,1,22,3,3,4,1,1,0
"1092",33,"No","Travel_Rarely",575,"Research & Development",25,3,"Life Sciences",1,1545,4,"Male",44,2,2,"Manufacturing Director",2,"Single",17280,96608,1,"Y","No",13,3,4,80,0,5,2,3,5,3,0,2
"976",55,"Yes","Travel_Rarely",267,"Sales",13,4,"Marketing",1,1372,1,"Male",85,4,4,"Sales Executive",3,"Single",54780,37108,6,"Y","Yes",17,3,3,80,0,24,2,2,19,7,3,8
"140",30,"No","Travel_Rarely",1240,"Human Resources",9,3,"Human Resources",1,184,3,"Male",48,3,2,"Human Resources",4,"Married",25388,55928,0,"Y","Yes",19,3,4,80,0,12,2,1,11,9,4,7
"956",55,"No","Travel_Rarely",282,"Research & Development",2,2,"Medical",1,1336,4,"Female",58,1,5,"Manager",3,"Married",76748,27968,4,"Y","No",14,3,4,80,1,23,5,3,19,9,9,11
"1114",32,"No","Non-Travel",1200,"Research & Development",1,4,"Technical Degree",1,1574,4,"Male",62,3,2,"Research Scientist",1,"Married",16348,100696,4,"Y","No",14,3,2,80,1,9,3,2,6,5,1,2
"342",38,"No","Travel_Rarely",343,"Research & Development",15,2,"Life Sciences",1,461,3,"Male",92,2,3,"Research Director",4,"Divorced",46040,62728,0,"Y","Yes",14,3,2,80,1,12,3,3,11,10,2,9
"1376",32,"Yes","Travel_Frequently",238,"Research & Development",5,2,"Life Sciences",1,1939,1,"Female",47,4,1,"Research Scientist",3,"Single",9728,61272,3,"Y","Yes",14,3,1,80,0,8,2,3,4,1,0,3
"566",23,"No","Travel_Rarely",310,"Research & Development",10,1,"Medical",1,784,1,"Male",79,4,1,"Research Scientist",3,"Single",14020,78520,1,"Y","No",18,3,4,80,0,2,3,3,2,2,0,2
"16",29,"No","Travel_Rarely",1389,"Research & Development",21,4,"Life Sciences",1,20,2,"Female",51,4,3,"Manufacturing Director",1,"Divorced",39920,40780,1,"Y","No",11,3,3,80,1,10,1,3,10,9,8,8
"1075",33,"No","Travel_Rarely",516,"Research & Development",8,5,"Life Sciences",1,1515,4,"Male",69,3,2,"Healthcare Representative",3,"Single",25552,88196,2,"Y","Yes",17,3,1,80,0,14,6,3,0,0,0,0
"238",52,"No","Non-Travel",771,"Sales",2,4,"Life Sciences",1,329,1,"Male",79,2,5,"Manager",3,"Single",76272,84120,1,"Y","Yes",18,3,4,80,0,33,2,4,33,7,15,12
"154",45,"No","Travel_Rarely",194,"Research & Development",9,3,"Life Sciences",1,206,2,"Male",60,3,2,"Laboratory Technician",2,"Divorced",9392,43604,8,"Y","No",18,3,3,80,1,20,2,1,17,9,0,15
"719",45,"No","Non-Travel",248,"Research & Development",23,2,"Life Sciences",1,1002,4,"Male",42,3,2,"Laboratory Technician",1,"Married",14532,56156,1,"Y","Yes",15,3,3,80,1,9,2,3,9,8,0,8
"68",45,"No","Travel_Rarely",1339,"Research & Development",7,3,"Life Sciences",1,86,2,"Male",59,3,3,"Research Scientist",1,"Divorced",38896,75148,2,"Y","No",17,3,3,80,1,25,2,3,1,0,0,0
"1002",37,"No","Travel_Rarely",1462,"Research & Development",11,3,"Medical",1,1411,1,"Female",94,3,1,"Laboratory Technician",3,"Single",14516,76424,4,"Y","No",18,3,1,80,0,8,6,3,3,2,0,2
"1302",58,"No","Non-Travel",350,"Sales",2,3,"Medical",1,1824,2,"Male",52,3,4,"Manager",2,"Divorced",65164,90308,4,"Y","No",22,4,4,80,1,37,0,2,16,9,14,14
"1291",34,"Yes","Travel_Frequently",234,"Research & Development",9,4,"Life Sciences",1,1807,4,"Male",93,3,2,"Laboratory Technician",1,"Married",21384,24832,4,"Y","No",17,3,3,80,1,11,3,2,7,1,0,7
"49",46,"No","Travel_Frequently",1211,"Sales",5,4,"Marketing",1,62,1,"Male",98,3,2,"Sales Executive",4,"Single",23088,81780,4,"Y","Yes",21,4,3,80,0,14,4,3,9,6,0,8
"959",34,"No","Travel_Rarely",943,"Research & Development",9,3,"Life Sciences",1,1344,4,"Male",86,3,3,"Healthcare Representative",4,"Divorced",34000,21976,0,"Y","No",11,3,4,80,1,10,0,2,9,7,1,6
"1151",35,"No","Travel_Rarely",819,"Research & Development",18,5,"Life Sciences",1,1621,2,"Male",48,4,2,"Research Scientist",1,"Married",20832,105248,1,"Y","No",11,3,4,80,0,16,2,3,16,15,1,10
"367",41,"Yes","Travel_Frequently",143,"Sales",4,3,"Marketing",1,488,1,"Male",56,3,2,"Sales Executive",2,"Single",37420,38232,1,"Y","No",18,3,3,80,0,8,5,3,8,7,7,7
"705",35,"No","Travel_Rarely",882,"Sales",3,4,"Life Sciences",1,984,4,"Male",92,3,3,"Sales Executive",4,"Divorced",31292,27248,6,"Y","No",13,3,2,80,1,12,2,3,10,9,0,8
"469",52,"No","Travel_Rarely",956,"Research & Development",6,2,"Technical Degree",1,630,4,"Male",78,3,2,"Research Scientist",1,"Divorced",22308,88348,3,"Y","Yes",12,3,2,80,2,18,3,3,10,9,6,9
"996",43,"No","Travel_Rarely",930,"Research & Development",6,3,"Medical",1,1402,1,"Female",73,2,2,"Research Scientist",3,"Single",16324,80012,1,"Y","Yes",14,3,1,80,0,20,3,1,20,7,1,8
"373",35,"No","Travel_Rarely",755,"Research & Development",9,4,"Life Sciences",1,496,3,"Male",97,2,2,"Healthcare Representative",2,"Single",26160,77576,9,"Y","No",19,3,3,80,0,10,5,3,1,1,0,0
"355",30,"No","Non-Travel",641,"Sales",25,2,"Technical Degree",1,475,4,"Female",85,3,2,"Sales Executive",3,"Married",18944,24276,7,"Y","Yes",12,3,2,80,1,4,2,4,2,2,2,2
"834",27,"No","Travel_Rarely",199,"Research & Development",6,3,"Life Sciences",1,1162,4,"Male",55,2,1,"Research Scientist",3,"Married",10156,31800,1,"Y","No",13,3,3,80,1,4,0,3,4,2,2,2
"919",51,"No","Travel_Frequently",237,"Sales",9,3,"Life Sciences",1,1282,4,"Male",83,3,5,"Manager",2,"Divorced",79388,76784,4,"Y","Yes",24,4,1,80,1,31,5,2,29,10,11,10
"1010",58,"No","Travel_Rarely",1055,"Research & Development",1,3,"Medical",1,1423,4,"Female",76,3,5,"Research Director",1,"Married",78804,89824,3,"Y","Yes",21,4,3,80,1,32,3,3,9,8,1,5
"1051",42,"No","Travel_Frequently",748,"Research & Development",9,2,"Medical",1,1480,1,"Female",74,3,1,"Laboratory Technician",4,"Single",14692,65832,1,"Y","No",13,3,3,80,0,12,3,3,12,9,5,8
"1055",49,"No","Travel_Rarely",1490,"Research & Development",7,4,"Life Sciences",1,1484,3,"Male",35,3,3,"Healthcare Representative",2,"Divorced",41864,83792,3,"Y","No",14,3,2,80,2,29,3,3,8,7,0,7
"213",27,"No","Travel_Frequently",1242,"Sales",20,3,"Life Sciences",1,293,4,"Female",90,3,2,"Sales Executive",3,"Single",39924,51664,1,"Y","No",14,3,4,80,0,7,2,3,7,7,0,7
"624",30,"No","Travel_Frequently",1012,"Research & Development",5,4,"Life Sciences",1,861,2,"Male",75,2,1,"Research Scientist",4,"Divorced",15044,9492,9,"Y","No",12,3,2,80,1,10,3,2,5,4,0,3
"1169",24,"No","Travel_Frequently",567,"Research & Development",2,1,"Technical Degree",1,1646,1,"Female",32,3,1,"Research Scientist",4,"Single",15040,68872,1,"Y","Yes",13,3,3,80,0,6,2,3,6,3,1,3
"1082",35,"No","Travel_Rarely",1029,"Research & Development",16,3,"Life Sciences",1,1529,4,"Female",91,2,3,"Healthcare Representative",2,"Single",34424,84780,1,"Y","No",19,3,4,80,0,11,3,1,11,8,3,3
"903",27,"No","Travel_Rarely",1167,"Research & Development",4,2,"Life Sciences",1,1259,1,"Male",76,3,1,"Research Scientist",3,"Divorced",10068,12832,1,"Y","No",11,3,2,80,3,5,2,3,5,3,0,3
"792",35,"Yes","Travel_Rarely",1204,"Sales",4,3,"Technical Degree",1,1100,4,"Male",86,3,3,"Sales Executive",1,"Single",38328,41332,0,"Y","Yes",22,4,1,80,0,9,2,3,8,7,4,7
"1081",46,"No","Travel_Rarely",228,"Sales",3,3,"Life Sciences",1,1527,3,"Female",51,3,4,"Manager",2,"Married",66424,45520,8,"Y","No",12,3,4,80,1,23,2,4,13,12,5,1
"911",23,"No","Travel_Rarely",373,"Research & Development",1,2,"Life Sciences",1,1270,4,"Male",47,3,1,"Research Scientist",3,"Married",4892,67604,1,"Y","No",22,4,4,80,1,1,2,3,1,0,0,1
"1041",40,"No","Non-Travel",218,"Research & Development",8,1,"Medical",1,1468,4,"Male",55,2,3,"Research Director",2,"Divorced",55028,100712,2,"Y","No",11,3,3,80,1,16,5,3,9,8,4,8
"1191",32,"No","Travel_Rarely",977,"Research & Development",2,3,"Medical",1,1671,4,"Male",45,3,2,"Research Scientist",2,"Divorced",21880,102072,0,"Y","No",13,3,3,80,2,10,4,2,9,5,1,6
"188",55,"No","Travel_Rarely",692,"Research & Development",14,4,"Medical",1,254,3,"Male",61,4,5,"Research Director",2,"Single",74888,53356,8,"Y","No",11,3,4,80,0,36,3,3,24,15,2,15
"1218",24,"No","Travel_Rarely",581,"Research & Development",9,3,"Medical",1,1707,3,"Male",62,4,1,"Research Scientist",3,"Married",17604,70464,1,"Y","No",16,3,4,80,1,5,1,3,5,3,0,4
"374",27,"No","Travel_Rarely",1469,"Research & Development",1,2,"Medical",1,497,4,"Male",82,3,1,"Laboratory Technician",2,"Divorced",15264,71524,1,"Y","No",11,3,2,80,1,5,2,3,5,2,0,4
"1123",29,"No","Travel_Rarely",1370,"Research & Development",3,1,"Medical",1,1586,2,"Male",87,3,1,"Laboratory Technician",1,"Single",18892,64852,1,"Y","Yes",18,3,4,80,0,10,3,3,10,9,1,5
"1137",28,"Yes","Travel_Rarely",329,"Research & Development",24,3,"Medical",1,1604,3,"Male",51,3,1,"Laboratory Technician",2,"Married",9632,29296,1,"Y","Yes",17,3,3,80,3,1,3,3,1,1,0,0
"1433",37,"No","Travel_Rarely",161,"Research & Development",10,3,"Life Sciences",1,2017,3,"Female",42,4,3,"Research Director",4,"Married",54976,61884,1,"Y","Yes",25,4,1,80,1,16,2,3,16,11,6,8
"1007",49,"Yes","Travel_Frequently",1475,"Research & Development",28,2,"Life Sciences",1,1420,1,"Male",97,2,2,"Laboratory Technician",1,"Single",17136,90840,3,"Y","No",20,4,1,80,0,20,2,3,4,3,1,3
"360",36,"No","Travel_Frequently",541,"Sales",3,4,"Medical",1,481,1,"Male",48,2,3,"Sales Executive",4,"Married",38796,28984,4,"Y","No",11,3,1,80,1,16,2,3,13,9,1,12
"343",31,"No","Travel_Rarely",1232,"Research & Development",7,4,"Medical",1,462,3,"Female",39,3,3,"Manufacturing Director",4,"Single",28572,102852,1,"Y","Yes",14,3,3,80,0,11,2,2,11,9,4,10
"1418",31,"No","Travel_Rarely",1154,"Sales",2,2,"Life Sciences",1,1996,1,"Male",54,3,1,"Sales Representative",3,"Married",12268,25572,0,"Y","No",19,3,3,80,1,3,1,3,2,2,1,2
"419",26,"No","Travel_Rarely",1349,"Research & Development",23,3,"Life Sciences",1,560,1,"Female",90,3,1,"Research Scientist",4,"Divorced",11544,12128,1,"Y","No",22,4,2,80,2,3,3,1,3,2,0,2
"876",44,"No","Travel_Rarely",200,"Research & Development",29,4,"Other",1,1225,4,"Male",32,3,2,"Research Scientist",4,"Single",18164,30976,1,"Y","No",25,4,2,80,0,20,3,3,20,11,13,17
"828",28,"No","Travel_Frequently",773,"Research & Development",6,3,"Life Sciences",1,1154,3,"Male",39,2,1,"Research Scientist",3,"Divorced",10812,88352,1,"Y","Yes",14,3,4,80,1,3,2,3,3,1,0,2
"763",26,"Yes","Travel_Frequently",342,"Research & Development",2,3,"Life Sciences",1,1053,1,"Male",57,3,1,"Research Scientist",1,"Married",8168,61384,6,"Y","Yes",14,3,2,80,1,6,2,3,3,2,1,2
"1214",23,"Yes","Travel_Rarely",427,"Sales",7,3,"Life Sciences",1,1702,3,"Male",99,3,1,"Sales Representative",4,"Divorced",9100,100412,1,"Y","Yes",21,4,2,80,1,3,2,3,3,2,0,2
"293",31,"No","Travel_Frequently",444,"Sales",5,3,"Marketing",1,399,4,"Female",84,3,1,"Sales Representative",2,"Divorced",11156,15636,1,"Y","No",11,3,3,80,1,2,5,2,2,2,2,2
"983",38,"No","Travel_Frequently",693,"Research & Development",7,3,"Life Sciences",1,1382,4,"Male",57,4,1,"Research Scientist",3,"Divorced",10440,62992,1,"Y","No",11,3,4,80,3,4,2,3,4,2,0,3
"1072",49,"No","Travel_Rarely",271,"Research & Development",3,2,"Medical",1,1509,3,"Female",43,2,2,"Laboratory Technician",1,"Married",19156,92280,4,"Y","No",25,4,1,80,1,10,3,3,3,2,1,2
"372",29,"No","Travel_Rarely",1283,"Research & Development",23,3,"Life Sciences",1,495,4,"Male",54,3,1,"Research Scientist",4,"Single",8804,72672,9,"Y","No",16,3,4,80,0,6,4,3,3,2,1,2
"1060",35,"No","Travel_Rarely",660,"Sales",7,1,"Life Sciences",1,1492,4,"Male",76,3,1,"Sales Representative",3,"Married",9616,64768,1,"Y","No",13,3,1,80,1,1,3,3,1,0,0,0
"893",19,"Yes","Non-Travel",504,"Research & Development",10,3,"Medical",1,1248,1,"Female",96,2,1,"Research Scientist",2,"Single",7436,24592,1,"Y","Yes",25,4,2,80,0,1,2,4,1,1,0,0
"1346",35,"No","Travel_Rarely",219,"Research & Development",16,2,"Other",1,1886,4,"Female",44,2,2,"Manufacturing Director",2,"Married",19152,101552,0,"Y","Yes",11,3,4,80,0,4,2,3,3,2,0,2
"337",29,"Yes","Travel_Rarely",318,"Research & Development",8,4,"Other",1,454,2,"Male",77,1,1,"Laboratory Technician",1,"Married",8476,19036,1,"Y","Yes",11,3,4,80,0,7,4,2,7,7,0,7
"83",55,"No","Travel_Rarely",111,"Sales",1,2,"Life Sciences",1,106,1,"Male",70,3,3,"Sales Executive",4,"Married",40956,72368,3,"Y","No",14,3,4,80,1,24,4,3,1,0,1,0
"217",30,"Yes","Travel_Frequently",334,"Sales",26,4,"Marketing",1,299,3,"Female",52,2,2,"Sales Executive",1,"Single",26784,91868,5,"Y","No",15,3,3,80,0,9,5,2,6,3,0,1
"822",49,"No","Travel_Rarely",174,"Sales",8,4,"Technical Degree",1,1138,4,"Male",56,2,4,"Sales Executive",2,"Married",52480,47516,6,"Y","No",17,3,2,80,1,22,3,3,9,8,2,3
"272",47,"Yes","Non-Travel",666,"Research & Development",29,4,"Life Sciences",1,376,1,"Male",88,3,3,"Manager",2,"Married",47396,41072,1,"Y","Yes",12,3,4,80,1,10,2,2,10,7,9,9
"632",44,"No","Travel_Rarely",986,"Research & Development",8,4,"Life Sciences",1,874,1,"Male",62,4,1,"Laboratory Technician",4,"Married",11272,20176,2,"Y","Yes",24,4,3,80,1,10,2,2,3,2,0,2
